annee;taux_brut_%;frais_gestion_%;taux_net_publie_%;prelevements_sociaux_%;taux_net_apres_ps_%
2012;3.85;0.6;3.25;0.559;2.691
2013;3.6;0.6;3.0;0.516;2.484
2014;3.6;0.6;3.0;0.516;2.484
2015;3.35;0.6;2.75;0.473;2.277
2016;2.85;0.6;2.25;0.387;1.863
2017;2.85;0.6;2.25;0.387;1.863
2018;3.4;0.6;2.8;0.4816;2.3184
2019;3.0;0.6;2.4;0.4128;1.9872
2020;2.6;0.6;2.0;0.344;1.656
2021;2.4;0.6;1.8;0.3096;1.4904
2022;2.7;0.6;2.1;0.3612;1.7388
2023;3.1;0.6;2.5;0.43;2.07
2024;3.1;0.6;2.5;0.43;2.07
2025;3.6;0.6;3.0;0.516;2.484
